id_projet,nom_projet,type_projet,budget_estime,budget_reel,duree_estimee,duree_reelle,retard,incident_qualite,incident_securite,materiaux_defectueux,conditions_meteo
8a965e3e,"Lambert, Peters and Thomas",Route,3981631.69,4307520.908982266,145,150.28920122148335,5,3,6,7.94,Mauvaises
7e817610,"Stanley, Downs and Sanchez",Bâtiment,4178399.45,3625178.3613335863,471,547.7113388186297,76,13,0,3.0,Bonnes
6d9590c0,Chandler LLC,Pont,1418691.99,1467214.4728267558,641,837.6731139423462,196,9,2,1.04,Moyennes
25398d34,Mann PLC,Bâtiment,843607.4,1081720.0631609606,691,670.5075536668562,0,9,7,4.48,Mauvaises
623dd5d9,"Wolf, Jordan and Cortez",Bâtiment,537270.97,461886.4275489317,341,431.1442858843081,90,13,7,9.21,Bonnes
b66e6233,Mills-Gonzalez,Route,3267675.75,3439604.1144163213,316,364.127997081556,48,15,6,1.22,Moyennes
e607caf3,"Henderson, Garcia and Lam",Pont,3939573.51,5829756.1731235795,350,365.3940900802026,15,6,2,2.86,Bonnes
80f4da2e,Hill-Stark,Pont,2652706.42,2663739.221187055,687,1024.7313260391613,337,18,9,14.51,Mauvaises
2231f5bb,Richardson-Baldwin,Route,3196732.02,4274430.546679564,184,159.9537637929221,0,10,4,8.05,Moyennes
9b49b995,Mason-Green,Pont,1510263.05,1338767.2148595254,141,179.32817567082097,38,13,0,11.31,Mauvaises
433a5660,Callahan-Gilbert,Route,2166597.54,2326801.4154762304,380,433.9627819829048,53,18,6,2.85,Moyennes
74634629,"Huerta, Taylor and Rivera",Route,4395614.86,3575654.0375822913,454,493.45552058773086,39,0,6,12.54,Bonnes
f6821ff6,Fletcher and Sons,Pont,3452158.35,2792801.7493798053,30,29.043377396586585,0,13,3,3.59,Mauvaises
8e4493e2,"Cummings, Gonzalez and Green",Bâtiment,998302.05,1159824.516316326,488,662.616437213225,174,13,1,1.39,Moyennes
98aa57c1,"Gutierrez, Bailey and Skinner",Route,3770801.39,4332516.959564266,572,532.871037126145,0,15,2,0.6,Mauvaises
5f0e7d73,Allen PLC,Pont,1258858.88,1294371.9348944733,426,383.8007505360144,0,14,10,11.22,Mauvaises
fb398bd7,"Lopez, Todd and Ward",Bâtiment,2693603.87,3424825.4274807023,542,592.675377170245,50,9,1,2.19,Bonnes
88c6a461,Madden-Pierce,Pont,2754419.98,2399015.00191592,375,325.71325015066645,0,13,2,3.59,Moyennes
907527f1,"Castro, Russell and Ramirez",Bâtiment,2698418.33,3951565.9591863253,81,82.62316545064547,1,12,2,4.65,Mauvaises
6935570a,"Walker, Patel and Mckee",Pont,2749105.92,4030060.713073093,162,220.299940697204,58,18,4,3.4,Bonnes
08429274,Morales LLC,Route,2184032.88,1974163.9724894324,312,392.18679451263836,80,7,3,0.18,Mauvaises
e664bd97,"Dominguez, Howard and Mosley",Bâtiment,3721897.87,4619590.547234769,378,460.12466523819734,82,12,6,4.78,Bonnes
a8a36423,Lara Inc,Bâtiment,1708385.77,2053437.2949246033,48,63.02731709537087,15,19,2,6.81,Bonnes
af0df069,Wilson Group,Bâtiment,2473127.15,3526677.7371947966,377,436.6805961197825,59,8,4,3.19,Moyennes
8690dd87,Moore Inc,Bâtiment,4858267.75,5192042.89226397,72,68.6360632965924,0,4,9,11.66,Moyennes
4487471b,Barrett-Davidson,Bâtiment,1257377.25,1633501.0616698798,251,299.0185041897066,48,10,6,5.24,Moyennes
cc74b9b1,"Martin, Berger and Lewis",Route,2457531.96,3627962.0177954137,493,436.1879675929495,0,3,7,9.18,Moyennes
8c1c1cc7,Jackson-Nelson,Pont,283820.29,317697.62933297764,590,697.7122510510715,107,0,8,5.29,Bonnes
decf5385,Cruz-Eaton,Pont,4976535.42,4769969.459289182,75,90.62586977424152,15,10,3,7.49,Mauvaises
b2283712,Owens-Christian,Bâtiment,626926.71,712415.7130662481,309,445.64115792605793,136,19,9,10.3,Mauvaises
44a0abca,"Smith, Hanson and Juarez",Bâtiment,4471282.77,4979758.675260046,416,473.0873997367138,57,6,6,7.95,Moyennes
87b3f1f2,Hull-Torres,Bâtiment,547542.68,749779.0457857637,626,836.178320263395,210,12,10,10.35,Moyennes
e64cfddf,"Nguyen, Ford and Anderson",Bâtiment,4798946.12,4950596.736748414,162,187.81356263426605,25,17,3,7.51,Moyennes
473eecd9,Wilcox-Frederick,Route,4948027.34,5209691.151691523,698,563.3421711984573,0,13,9,9.41,Bonnes
980be68b,"Hunter, Lawson and Glover",Pont,1815730.08,2675375.8211607942,436,387.49738891584485,0,18,8,10.53,Mauvaises
3184f108,"Smith, West and Williams",Route,1029643.68,1036015.0822525093,266,362.9559201919608,96,11,3,3.05,Moyennes
c99c281c,"Bryant, Castro and Mccoy",Pont,2821330.6,3576812.283745794,37,35.094139744602565,0,10,9,7.26,Moyennes
5183aaf5,Burns Ltd,Bâtiment,1267738.12,1754305.9465654877,292,348.9873978138513,56,3,4,11.02,Bonnes
36fd985e,Wright-Meyer,Pont,4482851.92,5320371.163105817,717,667.8286390222988,0,5,3,0.05,Mauvaises
6d0327ca,Wade-Mcgee,Route,4882169.59,7108016.520913614,728,1085.0540722496153,357,3,7,6.53,Mauvaises
92b2e901,Schroeder PLC,Route,4047751.06,5380130.453317323,512,471.6185306996997,0,4,1,10.01,Bonnes
5e4b2b1e,Gray Ltd,Pont,1362960.3,1254558.213121339,451,628.8744622925227,177,18,1,7.91,Moyennes
dd48c5c9,Lewis-Carey,Bâtiment,3753651.32,3369681.836117638,401,442.5388071425814,41,8,7,1.88,Mauvaises
d434c98c,"Benton, Daniels and Mcneil",Bâtiment,2730898.29,2907458.930410758,420,460.47258037335905,40,14,0,4.58,Bonnes
ef159c75,"Jones, Gonzalez and Meyer",Route,1925881.43,2608560.405961292,446,564.139544858687,118,3,1,3.96,Bonnes
e84836b9,Barker Inc,Bâtiment,454103.9,542209.7854473323,714,750.6173602903474,36,6,6,7.16,Bonnes
7589958e,Davis-Thomas,Pont,2283379.57,3372536.0464117466,260,366.2181663071049,106,15,3,8.41,Bonnes
cf27e23b,"Bailey, Garner and Nelson",Pont,1180452.22,1457560.4569501146,156,177.15799925560088,21,6,1,12.98,Bonnes
ed002a60,Andrade-Rodriguez,Bâtiment,2785643.95,2661575.1652726573,678,784.0809530811497,106,8,8,10.32,Mauvaises
924f68e2,"Pierce, Wheeler and Fowler",Route,2640036.18,3210945.5339227463,398,577.1130131340947,179,7,3,0.12,Mauvaises
d5f20021,Miller and Sons,Bâtiment,1666255.79,1855051.1104485134,272,391.80369217274483,119,18,2,13.94,Bonnes
552a4dbc,"Perry, Martin and Gonzalez",Route,3336383.81,3699665.6160404417,172,152.85143596082307,0,15,7,7.31,Bonnes
098c575c,Perkins and Sons,Pont,4418676.5,3860737.050275613,464,669.6754975367804,205,11,9,14.79,Moyennes
1a2732b0,"Maldonado, Bass and Jackson",Route,3688739.63,3842837.3095469223,715,998.7625651459549,283,8,0,7.77,Bonnes
9d013e5d,"Diaz, Bauer and Fox",Pont,1225104.69,1494302.7214549698,536,610.6430452929245,74,16,10,1.57,Bonnes
5f861a14,Lara and Sons,Bâtiment,3302286.98,4728594.237608146,268,295.48410113544,27,2,1,13.75,Mauvaises
4b62a3a2,Snyder Inc,Bâtiment,428239.78,384380.54424629995,177,167.3805900664588,0,19,3,3.16,Mauvaises
69e9e52f,"Ruiz, Matthews and Blankenship",Bâtiment,220282.8,235143.47852476678,131,132.84671125524218,1,11,4,9.32,Mauvaises
ca6563b7,Williams Ltd,Route,4558587.07,6548364.260204871,344,321.79009941739145,0,8,8,4.34,Mauvaises
82b743e3,Combs and Sons,Bâtiment,1686506.8,1814277.5504034094,89,124.27310214302992,35,20,7,12.68,Mauvaises
8fd93d11,Adams Group,Route,2774196.76,3564463.652714047,486,627.2070776677301,141,19,0,14.6,Moyennes
0f554c96,"Burgess, Dominguez and York",Pont,4509945.29,4796744.116598072,58,47.09574618870681,0,8,7,12.78,Bonnes
0e352bf2,Gray-Wheeler,Bâtiment,4004816.93,3223993.378391532,313,294.5712415780241,0,7,9,13.63,Mauvaises
6eeaeadc,Murphy Group,Pont,1066179.03,1584941.4811811133,176,232.35600462490626,56,1,6,3.98,Moyennes
09ce1a21,Reed Inc,Route,4526908.14,3673435.7232636036,570,529.1893222074854,0,4,9,0.53,Bonnes
bb6901c4,Ramirez-Davis,Pont,2837229.53,2855510.397341036,143,123.74684484135949,0,19,2,4.59,Moyennes
e1249431,"Vargas, Rodgers and Bradley",Pont,601062.06,501256.331111771,728,951.5140779927602,223,15,1,12.89,Moyennes
fb5a553a,Hester-Morales,Pont,1883809.05,1542948.0965057693,140,186.1911809187266,46,17,5,8.41,Mauvaises
e43bcce1,Bowen Ltd,Route,550447.89,703344.7685887192,700,1001.3816279331617,301,13,6,11.92,Mauvaises
e98dc296,Brown-Castaneda,Pont,2196171.94,1811812.1557529042,196,259.14001926168413,63,9,4,4.73,Bonnes
e75756fe,Hampton Inc,Pont,3433886.56,2951294.1007421357,305,263.35859252551387,0,17,7,5.53,Bonnes
99078a86,"Griffith, Drake and Crawford",Pont,2643079.4,2824886.8124327892,552,494.2410382430506,0,7,0,4.92,Bonnes
e76fbe93,Dalton PLC,Route,1162752.52,1068062.813419533,193,184.5549022229375,0,15,1,4.06,Mauvaises
a739d038,"Joseph, Stewart and Wilson",Bâtiment,618630.21,572309.3113530414,332,465.9588971688607,133,0,1,11.94,Mauvaises
e718c1c6,"Larsen, Solis and Crosby",Route,3400950.28,3372496.6787256803,612,645.5842896303255,33,5,4,8.7,Mauvaises
85d1a705,Rogers-Long,Pont,756605.2,620986.0225466606,93,138.2884908205838,45,20,2,9.03,Moyennes
53b3eb5f,"Carter, Foster and Olsen",Bâtiment,4381148.08,5132016.67602903,528,719.409115453505,191,11,9,11.09,Mauvaises
ad868203,Hall Inc,Pont,774591.98,1038652.7071070127,178,179.67911917072703,1,5,2,5.95,Bonnes
cfb22028,"Shields, Gonzalez and Goodman",Pont,3486194.31,3736314.1363624735,223,239.85275520884053,16,16,8,10.58,Moyennes
2016555e,Sharp-Swanson,Route,1371382.54,1348640.8148675747,454,586.4712217403991,132,1,6,11.81,Moyennes
388f2ebf,May LLC,Bâtiment,1662753.63,1679046.8022234396,493,551.3260757985428,58,14,2,13.04,Bonnes
26c6561d,Montes LLC,Pont,4483137.79,6001056.504699473,333,327.8588484988335,0,8,8,12.34,Moyennes
dd9df591,"Daugherty, Hood and Wilkerson",Route,1754736.87,2279392.8690364757,489,626.9342744885712,137,14,0,2.23,Bonnes
b9d68d95,"Taylor, Vasquez and Moore",Route,226928.0,217655.30772228996,579,820.8130620761754,241,2,8,6.34,Mauvaises
94ff40eb,Kelly-Martinez,Pont,4055210.63,5721833.388580475,60,67.16008475294592,7,0,4,4.0,Bonnes
18243555,King-Chan,Pont,4496158.28,5330201.907892568,99,91.85962968937623,0,5,8,12.4,Bonnes
d85df7ae,Bennett-Davis,Route,2324394.12,2649153.0998723526,661,632.6262129586075,0,13,9,3.68,Moyennes
65edd572,Wiley-Wilson,Pont,3461824.9,4363153.231084186,215,273.43201113007416,58,19,7,0.36,Mauvaises
18e4678c,White-Harper,Bâtiment,3353925.54,3662835.8415479227,407,495.6310253806837,88,2,2,13.73,Mauvaises
02af789a,Holden-Contreras,Pont,4649425.71,6791205.741488973,343,314.3468430330542,0,16,5,6.15,Moyennes
f046dd2e,Cooper Group,Route,2598211.99,3780154.3008510843,655,714.1109658031506,59,1,2,2.33,Bonnes
20a4d4bc,"Schaefer, Moore and Mata",Route,4283835.75,5619484.551220454,608,902.1862420189905,294,14,3,3.12,Bonnes
62c9b06e,Armstrong-Miller,Route,4504567.33,6546797.469992164,626,644.5870856205347,18,20,3,0.19,Mauvaises
3240084a,Berger Group,Pont,2274145.66,3233055.1092318958,592,540.1421742884393,0,2,9,11.5,Mauvaises
8091b05b,"Scott, Adams and Higgins",Route,572543.18,651056.7915916747,428,627.7876526153163,199,8,7,12.18,Bonnes
417b3a5b,Morrison PLC,Pont,3148855.87,4711756.786968886,504,710.0161296197064,206,19,6,0.87,Mauvaises
b7184893,Davidson-Perez,Pont,2137745.08,2138527.9647560944,207,177.87760496808994,0,14,9,14.14,Moyennes
768bae4e,Love and Sons,Bâtiment,423467.84,396734.0458977075,714,932.6463260565297,218,14,2,0.81,Bonnes
4c0f1005,Kelly Inc,Bâtiment,3746643.96,5012447.78589202,659,922.5221647487969,263,9,1,11.24,Mauvaises
4bc40ccf,Pratt-Graham,Route,3183243.98,2814163.830927361,138,179.92155489593858,41,4,8,6.31,Mauvaises
742e4afb,Ward Ltd,Route,4192090.18,4260809.079794641,558,629.6212781607837,71,1,6,6.16,Bonnes
83289d18,"Avila, Carter and Long",Pont,1490838.59,1715126.649725848,267,274.613182341503,7,7,4,7.16,Mauvaises
806b3c9d,Gibson PLC,Bâtiment,3365741.58,2842339.9913039263,541,595.7398764017494,54,10,4,11.99,Mauvaises
3e0c7b13,Gonzalez-Nelson,Route,1229776.23,988670.4483095313,297,427.81824037180195,130,0,8,1.62,Moyennes
ad4fde3d,Turner-Williams,Bâtiment,2942068.21,2466817.8446763363,110,110.75292355741865,0,4,1,1.17,Bonnes
d5dd4e9d,"Smith, Howard and Molina",Pont,4960186.21,6368807.917191104,94,118.6343626067234,24,9,6,11.87,Moyennes
9c9eff8b,"Rhodes, Chase and Logan",Pont,1557934.91,1499868.4482561038,222,237.40684875402516,15,18,3,13.95,Mauvaises
6c467f5b,Long-Bishop,Pont,712577.94,649600.622963032,266,293.17906488579854,27,9,4,13.2,Bonnes
7d2c375a,Wilson PLC,Route,3087521.43,4265146.638201583,287,375.1921400064287,88,0,10,11.94,Mauvaises
21aa64db,Floyd-Diaz,Route,1314558.57,1480923.9570510513,91,134.08172166607193,43,14,10,6.09,Moyennes
98fc7b28,"Velazquez, Smith and Cook",Bâtiment,4362591.21,4904757.622992935,550,548.0298477470892,0,18,1,6.28,Mauvaises
6006a11a,Carter-Palmer,Bâtiment,3915602.37,4471599.010581067,374,370.22383133834694,0,3,4,2.88,Mauvaises
7d0342ff,Walker PLC,Route,3704093.78,3111831.6739392984,197,216.96498003314372,19,14,6,6.76,Moyennes
04f928dc,Roberts PLC,Bâtiment,2355788.07,3241445.45020056,487,417.20484647451354,0,11,1,7.25,Bonnes
1181618c,Wilson Ltd,Route,2400913.32,2309477.5484265327,407,403.80034579933994,0,12,10,10.18,Mauvaises
007c5a8f,Green-Davis,Pont,2361185.94,1943565.1129305183,358,457.50402556275867,99,7,9,4.54,Mauvaises
63c079df,Soto Inc,Bâtiment,2339577.13,2588674.2593339668,215,265.893372810024,50,20,2,2.54,Bonnes
731c6625,Mcdonald-King,Pont,3452139.43,4815097.721182632,698,691.1502873183598,0,12,2,13.93,Bonnes
4ec7df11,"Erickson, Burnett and Holland",Bâtiment,1045012.74,1189752.434009591,204,289.22632139111784,85,17,5,6.57,Mauvaises
9b869417,Cox-Fields,Bâtiment,4464171.09,5993081.61982049,58,62.26206613817695,4,5,0,11.77,Bonnes
5dfc402e,"Wolf, Jenkins and Johnson",Route,3106811.07,4341918.228774821,349,425.6616670140522,76,16,9,5.78,Mauvaises
0727ba8f,Reyes-Martinez,Pont,1283977.17,1145537.1524439564,710,1011.2666536178681,301,2,9,8.25,Bonnes
49705db6,Tanner and Sons,Bâtiment,2851332.64,3862288.45208985,515,534.4393408003998,19,2,3,4.07,Moyennes
6001e255,"Martin, Williams and Walker",Route,2345700.94,2303975.6087023076,631,625.5950227910272,0,12,5,0.54,Mauvaises
46ce8e04,Jones-Rodriguez,Route,1710342.08,2411023.865268792,76,63.28526008683408,0,5,4,1.62,Mauvaises
60e9b564,Flowers-Reilly,Route,1989486.35,1833271.5149370406,713,592.1305749677168,0,19,10,13.46,Mauvaises
54285471,Reeves-Archer,Route,4078499.93,4905334.573382312,176,244.15334109981126,68,17,10,12.49,Mauvaises
63e9946d,"Parsons, Jones and Parker",Route,1880914.46,1651777.656135647,638,513.2258827194632,0,16,6,4.72,Mauvaises
c7a5f51b,Wright PLC,Route,219028.57,291238.29813172057,458,478.7152114736549,20,15,3,5.81,Bonnes
11ac4afb,Spencer-Morales,Bâtiment,4039087.47,4743852.047859881,505,607.362214814653,102,10,1,9.2,Mauvaises
fa816019,"Contreras, Ortiz and Garcia",Route,463809.54,465949.69175220816,219,289.9127506833181,70,20,5,4.36,Moyennes
9e60bc24,Thomas LLC,Bâtiment,3900693.27,5121975.71272275,532,621.3452391040264,89,1,4,11.55,Mauvaises
780eae63,"Santos, Brooks and Jones",Route,4770642.06,5981404.696055549,697,692.8141361967978,0,9,10,11.05,Bonnes
615eabe7,Reed LLC,Route,98431.65,85293.0679929657,398,341.2312284530321,0,6,7,6.05,Mauvaises
d2337fc3,King Inc,Pont,2639601.4,3230258.031059268,528,487.6697033241302,0,6,8,0.4,Moyennes
840199e1,"King, Larsen and Li",Pont,3462013.23,2960540.8439548225,192,197.15591391302112,5,20,0,9.6,Bonnes
7653f282,Johnson Inc,Pont,1217699.96,1221701.4544205547,412,363.394273082223,0,18,10,6.58,Mauvaises
de5bc904,Lin Inc,Pont,1055197.41,845551.7533632368,169,184.92718947291075,15,2,9,3.95,Mauvaises
0ac8cbdb,Moore-White,Pont,1625578.24,2244855.637615666,393,488.05332109755216,95,20,5,7.72,Bonnes
6213469f,Garza Ltd,Bâtiment,251503.03,343342.2012007918,80,66.09482052364966,0,3,0,10.37,Bonnes
98ebc25c,Acevedo Group,Pont,257202.68,231521.49465059824,730,785.6630595460716,55,14,4,10.95,Mauvaises
eb2ee3f0,"Meyer, Bautista and Horn",Bâtiment,3346587.46,3958130.932070291,533,449.5109555403681,0,8,8,7.93,Moyennes
026441c4,Perez LLC,Bâtiment,3061118.67,2598605.5017061955,53,69.4084048747808,16,3,10,6.85,Mauvaises
8bbceae5,Cantu Inc,Pont,4595624.69,4048470.741803548,694,1009.9913849088424,315,4,6,13.02,Mauvaises
16f929d1,"Jenkins, Mccarthy and Dixon",Bâtiment,106325.06,110411.39629282484,478,615.0092625092401,137,5,8,3.96,Mauvaises
44a1e108,Pham LLC,Bâtiment,2190250.64,3180678.4795608604,478,491.1749261470726,13,0,1,3.04,Moyennes
f7a98764,Gutierrez Group,Pont,2469671.76,3537353.11592088,425,428.4913565427595,3,8,10,8.35,Moyennes
2c67c69b,"Lambert, Lyons and Robinson",Bâtiment,1144722.31,1070582.396570559,212,206.39972123479947,0,9,9,12.36,Bonnes
dc4c12fe,Hanson-Diaz,Route,3671397.08,3866856.7055296456,471,431.04101297608725,0,7,6,11.41,Mauvaises
a590cf2b,Robinson PLC,Bâtiment,3765303.25,3628533.565894107,236,189.88890942341453,0,2,9,5.52,Mauvaises
1a0e30f9,"Anthony, Adams and Cuevas",Bâtiment,1030066.37,1131399.1588499832,226,300.2352513128083,74,11,10,6.15,Bonnes
173471d4,"Ferguson, Cameron and Holt",Bâtiment,2704845.39,3276597.405624752,307,448.8501521713485,141,9,1,7.23,Moyennes
41d60310,Schroeder-Ellis,Route,1577061.93,1967988.1628490088,675,756.7919480377217,81,18,10,14.73,Mauvaises
764e39eb,"Church, Robertson and Skinner",Pont,958487.32,1214823.7276240073,105,141.01713109369882,36,1,9,8.66,Bonnes
8ea6a54a,Smith Inc,Pont,223975.93,222038.24864367038,637,889.0950785269587,252,7,8,13.73,Mauvaises
dc2b798e,Johnson-Lang,Pont,1510938.07,2164571.1388988667,461,619.0847165597459,158,4,1,4.11,Moyennes
f750e0ed,Gallagher Ltd,Route,2676783.58,2332478.810966728,371,316.43106213673735,0,5,10,10.43,Mauvaises
d8d08da5,Cook PLC,Pont,4995485.57,6100184.64259593,431,525.446466404019,94,7,7,13.35,Mauvaises
ff3c7caa,Sampson-Gomez,Pont,2494550.71,2972641.7024997566,704,698.1715491986367,0,11,9,2.26,Moyennes
78c5770e,"Anderson, Poole and Payne",Pont,4527149.67,4922583.907841951,681,720.6940770789432,39,12,1,7.8,Mauvaises
37751b65,Bishop LLC,Bâtiment,1002233.52,1177206.9163604167,339,293.1878210021224,0,3,8,11.15,Moyennes
7a8fc14a,Hernandez-Brock,Route,2995075.99,3513651.262305572,39,36.710017940904564,0,18,2,13.91,Mauvaises
99815c0d,Lopez-Galvan,Bâtiment,468817.09,537457.1569480664,224,219.07037647223535,0,4,0,13.4,Moyennes
80eff91f,Sexton-White,Pont,165435.62,218081.64521703345,692,597.4165586765199,0,9,3,1.18,Mauvaises
eeab6896,Brown LLC,Pont,1730942.69,2013498.2233644833,301,353.1179454450451,52,3,6,3.92,Moyennes
d8bdb116,Zamora Ltd,Pont,414550.22,538821.8275775297,534,652.3252386902627,118,13,6,11.79,Moyennes
b0fa8ccb,"Smith, Montes and Harrell",Pont,3576316.21,3336361.2253633766,708,674.6547457540726,0,16,7,2.21,Mauvaises
dea70b03,Herrera Ltd,Pont,2679400.62,3864819.093785165,336,382.6751167793492,46,1,8,11.13,Moyennes
c18366a9,Stanton-Bowers,Route,2191358.32,1772793.9441958363,205,276.65777454389774,71,1,4,6.85,Bonnes
aafc4d79,Woods-Clay,Pont,4705819.36,4213126.862840209,375,501.30887620717283,126,10,5,8.88,Mauvaises
231e0203,Holloway-Mason,Bâtiment,4612727.67,5280219.758407397,675,707.2717757774153,32,8,4,5.85,Mauvaises
b5f289e5,Hodge and Sons,Route,1732040.75,1401452.0981373426,657,583.9891450424634,0,5,1,9.81,Bonnes
4b7f3ce9,Simon Group,Bâtiment,1446225.9,1608264.8791399866,388,337.2810846311769,0,10,2,4.19,Moyennes
43b26aa7,"Murphy, Newman and Farmer",Pont,731948.16,751760.4290812428,480,500.24576104775855,20,6,9,1.74,Moyennes
dc5bf0fc,"Smith, Strickland and Navarro",Bâtiment,4715522.59,4291193.813833861,266,358.58757851197873,92,6,9,11.16,Moyennes
7ac32dc7,"Robinson, Smith and Santos",Bâtiment,4168238.5,5538640.730540952,542,763.3500633128349,221,13,4,2.35,Bonnes
f8f5be26,"Mccann, Garcia and Lane",Pont,285681.57,263380.31161492656,685,950.2237194467768,265,4,6,9.43,Bonnes
9b1c7be3,Buchanan PLC,Pont,3550453.11,5098331.227014007,671,895.2954107693911,224,10,2,1.85,Moyennes
e380dc83,Burgess-Nicholson,Bâtiment,2475275.84,3170660.8902311022,532,441.9834450501327,0,19,2,12.45,Moyennes
758096dc,"Cook, Thomas and Levine",Bâtiment,1925135.74,1650167.8723302742,591,837.9048560186225,246,12,2,7.4,Mauvaises
1719bc2c,"Gamble, Lutz and Wilson",Pont,2045891.61,2968008.48097607,316,332.59690910699385,16,20,6,10.16,Moyennes
7aa0e6b7,"Reid, Flores and Mitchell",Pont,3575884.55,3662319.8028118433,691,902.6769764080134,211,18,3,6.59,Mauvaises
aaadf877,Quinn-Johnson,Bâtiment,2744638.2,2994221.8097321778,289,350.43446670326466,61,19,6,9.64,Mauvaises
fe8a06fa,"Taylor, Carpenter and Mcfarland",Route,3250127.79,2967419.678396907,177,195.64705332617453,18,7,7,1.7,Bonnes
11a8cc36,Gutierrez-Daniel,Route,2349750.95,2307858.8500848883,651,849.6946839918866,198,0,4,11.56,Bonnes
ad3db4b5,Avila and Sons,Pont,553151.43,475215.0403688695,361,540.4438333112497,179,8,5,5.47,Moyennes
59cd6067,Weiss Inc,Bâtiment,2895834.43,3578183.4509823197,35,46.6463452980434,11,2,3,9.98,Mauvaises
5636a24d,Roberts-Jacobson,Pont,1505818.85,1206071.4000666346,504,750.5474298889274,246,4,4,6.85,Mauvaises
50021226,Hernandez-Mcdaniel,Bâtiment,4996489.63,5941121.3500956455,523,546.9802037562783,23,17,5,1.19,Bonnes
19471b0a,"Hurst, Sanchez and Petty",Bâtiment,4697515.43,4748522.1968728425,59,88.41976000123785,29,5,1,2.68,Moyennes
808623e8,Moore Group,Pont,3911023.82,5227486.787147706,369,467.70767029991697,98,18,5,14.58,Moyennes
d76b2525,Bryant-Stout,Bâtiment,887415.67,1201799.0202387853,545,738.901677539048,193,20,6,2.71,Bonnes
2a5ddf3d,Cooper and Sons,Route,2013292.14,2392031.896082712,497,482.64314371941185,0,4,0,14.46,Moyennes
695afed2,Kelley and Sons,Bâtiment,3114749.89,2999749.1831216514,166,225.55094910075047,59,3,2,7.64,Mauvaises
288ada75,"Brown, Parker and Morton",Bâtiment,929617.65,980820.7838014581,47,47.53136022964183,0,19,3,13.66,Moyennes
